replicates_N,noise_SD,TP,FP,recall,empirical_fdr
3,0.1,81,2,0.81,0.024096385542168676
3,0.2,0,0,0.0,0.0
3,0.3,0,0,0.0,0.0
3,0.4,0,0,0.0,0.0
3,0.5,0,0,0.0,0.0
4,0.1,100,2,1.0,0.0196078431372549
4,0.2,69,2,0.69,0.028169014084507043
4,0.3,11,1,0.11,0.08333333333333333
4,0.4,2,0,0.02,0.0
4,0.5,2,0,0.02,0.0
5,0.1,100,3,1.0,0.02912621359223301
5,0.2,95,3,0.95,0.030612244897959183
5,0.3,36,1,0.36,0.02702702702702703
5,0.4,4,0,0.04,0.0
5,0.5,0,0,0.0,0.0
6,0.1,100,2,1.0,0.0196078431372549
6,0.2,100,2,1.0,0.0196078431372549
6,0.3,87,1,0.87,0.011363636363636364
6,0.4,38,0,0.38,0.0
6,0.5,0,0,0.0,0.0
8,0.1,100,7,1.0,0.06542056074766354
8,0.2,100,7,1.0,0.06542056074766354
8,0.3,97,7,0.97,0.0673076923076923
8,0.4,82,4,0.82,0.046511627906976744
8,0.5,57,3,0.57,0.05
12,0.1,100,3,1.0,0.02912621359223301
12,0.2,100,3,1.0,0.02912621359223301
12,0.3,100,3,1.0,0.02912621359223301
12,0.4,100,3,1.0,0.02912621359223301
12,0.5,89,3,0.89,0.03260869565217391
15,0.1,100,2,1.0,0.0196078431372549
15,0.2,100,2,1.0,0.0196078431372549
15,0.3,100,2,1.0,0.0196078431372549
15,0.4,100,2,1.0,0.0196078431372549
15,0.5,98,2,0.98,0.02
